year,week,positive_cases,total_tests,total_mosquitoes,positive_rate
2007,21,0,25,40,0.0
2007,22,0,59,126,0.0
2007,23,0,46,85,0.0
2007,24,0,70,216,0.0
2007,25,0,74,240,0.0
2007,26,1,127,633,0.7874015748031495
2007,27,0,152,1103,0.0
2007,28,5,306,5237,1.6339869281045754
2007,29,13,324,5989,4.012345679012346
2007,30,8,285,4003,2.807017543859649
2007,31,20,303,6473,6.6006600660066
2007,32,60,423,11131,14.184397163120568
2007,33,65,325,6179,20.0
2007,34,34,306,6226,11.11111111111111
2007,35,20,233,4056,8.583690987124463
2007,36,5,135,1193,3.7037037037037033
2007,37,1,216,2148,0.4629629629629629
2007,38,0,116,924,0.0
2007,39,2,211,1706,0.9478672985781991
2008,23,0,57,180,0.0
2008,24,0,66,222,0.0
2008,25,0,92,404,0.0
2008,26,0,102,452,0.0
2008,27,0,97,386,0.0
2008,28,1,118,941,0.847457627118644
2008,29,0,173,2635,0.0
2008,30,2,133,1069,1.5037593984962405
2008,31,3,153,1901,1.9607843137254901
2008,32,13,186,2479,6.989247311827956
2008,33,12,186,2729,6.451612903225806
2008,34,11,205,3004,5.365853658536586
2008,35,20,180,2994,11.11111111111111
2008,36,31,139,2890,22.302158273381295
2008,37,4,82,859,4.878048780487805
2008,38,1,63,337,1.5873015873015872
2008,39,1,64,552,1.5625
2009,20,0,59,190,0.0
2009,21,0,107,1011,0.0
2009,22,0,77,257,0.0
2009,23,0,125,1549,0.0
2009,24,0,145,2872,0.0
2009,25,0,124,1701,0.0
2009,26,0,112,719,0.0
2009,27,0,164,2365,0.0
2009,28,0,164,1893,0.0
2009,29,4,176,2697,2.272727272727273
2009,30,1,139,1159,0.7194244604316548
2009,31,0,131,878,0.0
2009,32,2,105,602,1.9047619047619049
2009,33,7,84,691,8.333333333333332
2009,34,0,54,175,0.0
2009,35,1,55,129,1.8181818181818181
2009,36,3,111,563,2.7027027027027026
2009,37,0,127,743,0.0
2009,38,1,125,702,0.8
2009,39,0,65,212,0.0
2010,22,0,7,76,0.0
2010,23,0,49,125,0.0
2010,24,0,75,678,0.0
2010,25,1,114,1721,0.8771929824561403
2010,26,0,104,1023,0.0
2010,27,1,206,4325,0.48543689320388345
2010,28,1,184,2853,0.5434782608695652
2010,29,6,188,2425,3.1914893617021276
2010,30,7,188,1322,3.723404255319149
2010,31,8,127,941,6.299212598425196
2010,32,3,184,1445,1.6304347826086956
2010,33,17,160,869,10.625
2010,34,8,199,1170,4.0201005025125625
2010,35,15,127,889,11.811023622047244
2010,36,5,157,936,3.1847133757961785
2010,37,4,152,448,2.631578947368421
2010,38,0,101,501,0.0
2010,39,0,67,138,0.0
2011,20,0,3,9,0.0
2011,21,0,4,4,0.0
2011,22,0,6,128,0.0
2011,23,0,51,296,0.0
2011,24,0,105,822,0.0
2011,25,0,91,846,0.0
2011,26,0,121,1944,0.0
2011,27,0,146,2091,0.0
2011,28,0,177,2497,0.0
2011,29,3,179,2449,1.675977653631285
2011,30,8,138,1408,5.797101449275362
2011,31,5,140,1065,3.571428571428571
2011,32,11,128,824,8.59375
2011,33,4,119,589,3.361344537815126
2011,34,4,106,490,3.7735849056603774
2011,35,7,112,870,6.25
2011,36,6,138,734,4.3478260869565215
2011,37,3,120,821,2.5
2011,38,6,109,728,5.5045871559633035
2011,39,0,61,184,0.0
2012,23,0,57,233,0.0
2012,24,0,87,364,0.0
2012,25,0,103,604,0.0
2012,26,3,121,1482,2.479338842975207
2012,27,17,215,5534,7.906976744186046
